"clean_file","orig_file","year","date"
"BJHR31DT_2021-08-10.RDS","BJHR31DT.DTA","1996","2021-08-10"
"BJIR31DT_2021-08-10.RDS","BJIR31DT.DTA","1996","2021-08-10"
"BOHR51DT_2021-08-10.RDS","BOHR51DT.DTA","2008","2021-08-10"
"BOIR51DT_2021-08-10.RDS","BOIR51DT.DTA","2008","2021-08-10"
"BFHR7ADT_2021-08-10.RDS","BFHR7ADT.DTA","2017","2021-08-10"
"BFIR7ADT_2021-08-10.RDS","BFIR7ADT.DTA","2017","2021-08-10"
"BFHR71DT_2021-08-10.RDS","BFHR71DT.DTA","2014","2021-08-10"
"BFIR71DT_2021-08-10.RDS","BFIR71DT.DTA","2014","2021-08-10"
"BFHR62DT_2021-08-10.RDS","BFHR62DT.DTA","2010","2021-08-10"
"BFIR62DT_2021-08-10.RDS","BFIR62DT.DTA","2010","2021-08-10"
"BFHR43DT_2021-08-10.RDS","BFHR43DT.DTA","2003","2021-08-10"
"BFIR43DT_2021-08-10.RDS","BFIR43DT.DTA","2003","2021-08-10"
"BFHR31DT_2021-08-10.RDS","BFHR31DT.DTA","1999","2021-08-10"
"BFIR31DT_2021-08-10.RDS","BFIR31DT.DTA","1999","2021-08-10"
"BUHR71DT_2021-08-10.RDS","BUHR71DT.DTA","2016","2021-08-10"
"BUIR71DT_2021-08-10.RDS","BUIR71DT.DTA","2016","2021-08-10"
"BUHR6ADT_2021-08-10.RDS","BUHR6ADT.DTA","2012","2021-08-10"
"BUIR6ADT_2021-08-10.RDS","BUIR6ADT.DTA","2012","2021-08-10"
"BUHR61DT_2021-08-10.RDS","BUHR61DT.DTA","2010","2021-08-10"
"BUIR61DT_2021-08-10.RDS","BUIR61DT.DTA","2010","2021-08-10"
"KHHR73DT_2021-08-10.RDS","KHHR73DT.DTA","2014","2021-08-10"
"KHIR73DT_2021-08-10.RDS","KHIR73DT.DTA","2014","2021-08-10"
"KHHR61DT_2021-08-10.RDS","KHHR61DT.DTA","2010","2021-08-10"
"KHIR61DT_2021-08-10.RDS","KHIR61DT.DTA","2010","2021-08-10"
"KHHR51DT_2021-08-10.RDS","KHHR51DT.DTA","2005","2021-08-10"
"KHIR51DT_2021-08-10.RDS","KHIR51DT.DTA","2005","2021-08-10"
"KHHR42DT_2021-08-10.RDS","KHHR42DT.DTA","2000","2021-08-10"
"KHIR42DT_2021-08-10.RDS","KHIR42DT.DTA","2000","2021-08-10"
"CMHR71DT_2021-08-10.RDS","CMHR71DT.DTA","2018","2021-08-10"
"CMIR71DT_2021-08-10.RDS","CMIR71DT.DTA","2018","2021-08-10"
"CMHR61DT_2021-08-10.RDS","CMHR61DT.DTA","2011","2021-08-10"
"CMIR61DT_2021-08-10.RDS","CMIR61DT.DTA","2011","2021-08-10"
"CMHR44DT_2021-08-10.RDS","CMHR44DT.DTA","2004","2021-08-10"
"CMIR44DT_2021-08-10.RDS","CMIR44DT.DTA","2004","2021-08-10"
"TDHR71DT_2021-08-10.RDS","TDHR71DT.DTA","2014","2021-08-10"
"TDIR71DT_2021-08-10.RDS","TDIR71DT.DTA","2014","2021-08-10"
"COHR61DT_2021-08-10.RDS","COHR61DT.DTA","2010","2021-08-10"
"COIR61DT_2021-08-10.RDS","COIR61DT.DTA","2010","2021-08-10"
"KMHR61DT_2021-08-10.RDS","KMHR61DT.DTA","2012","2021-08-10"
"KMIR61DT_2021-08-10.RDS","KMIR61DT.DTA","2012","2021-08-10"
"CDHR61DT_2021-08-10.RDS","CDHR61DT.DTA","2013","2021-08-10"
"CDIR61DT_2021-08-10.RDS","CDIR61DT.DTA","2013","2021-08-10"
"CDHR51DT_2021-08-10.RDS","CDHR51DT.DTA","2007","2021-08-10"
"CDIR51DT_2021-08-10.RDS","CDIR51DT.DTA","2007","2021-08-10"
"CIHR62DT_2021-08-10.RDS","CIHR62DT.DTA","2012","2021-08-10"
"CIIR62DT_2021-08-10.RDS","CIIR62DT.DTA","2012","2021-08-10"
"CIHR3ADT_2021-08-10.RDS","CIHR3ADT.DTA","1998","2021-08-10"
"CIIR3ADT_2021-08-10.RDS","CIIR3ADT.DTA","1998","2021-08-10"
"DRHR61DT_2021-08-10.RDS","DRHR61DT.DTA","2013","2021-08-10"
"DRIR61DT_2021-08-10.RDS","DRIR61DT.DTA","2013","2021-08-10"
"DRHR6ADT_2021-08-10.RDS","DRHR6ADT.DTA","2013","2021-08-10"
"DRIR6ADT_2021-08-10.RDS","DRIR6ADT.DTA","2013","2021-08-10"
"DRHR52DT_2021-08-10.RDS","DRHR52DT.DTA","2007","2021-08-10"
"DRIR52DT_2021-08-10.RDS","DRIR52DT.DTA","2007","2021-08-10"
"DRHR5ADT_2021-08-10.RDS","DRHR5ADT.DTA","2007","2021-08-10"
"DRIR5ADT_2021-08-10.RDS","DRIR5ADT.DTA","2007","2021-08-10"
"EGHR61DT_2021-08-10.RDS","EGHR61DT.DTA","2014","2021-08-10"
"EGIR61DT_2021-08-10.RDS","EGIR61DT.DTA","2014","2021-08-10"
"EGHR5ADT_2021-08-10.RDS","EGHR5ADT.DTA","2008","2021-08-10"
"EGIR5ADT_2021-08-10.RDS","EGIR5ADT.DTA","2008","2021-08-10"
"EGHR51DT_2021-08-10.RDS","EGHR51DT.DTA","2005","2021-08-10"
"EGIR51DT_2021-08-10.RDS","EGIR51DT.DTA","2005","2021-08-10"
"EGHR4ADT_2021-08-10.RDS","EGHR4ADT.DTA","2003","2021-08-10"
"EGIR4ADT_2021-08-10.RDS","EGIR4ADT.DTA","2003","2021-08-10"
"EGHR42DT_2021-08-10.RDS","EGHR42DT.DTA","2000","2021-08-10"
"EGIR42DT_2021-08-10.RDS","EGIR42DT.DTA","2000","2021-08-10"
"SZHR51DT_2021-08-10.RDS","SZHR51DT.DTA","2006","2021-08-10"
"SZIR51DT_2021-08-10.RDS","SZIR51DT.DTA","2006","2021-08-10"
"ETHR81DT_2021-08-10.RDS","ETHR81DT.DTA","2019","2021-08-10"
"ETIR81DT_2021-08-10.RDS","ETIR81DT.DTA","2019","2021-08-10"
"ETHR71DT_2021-08-10.RDS","ETHR71DT.DTA","2016","2021-08-10"
"ETIR71DT_2021-08-10.RDS","ETIR71DT.DTA","2016","2021-08-10"
"ETHR61DT_2021-08-10.RDS","ETHR61DT.DTA","2011","2021-08-10"
"ETIR61DT_2021-08-10.RDS","ETIR61DT.DTA","2011","2021-08-10"
"ETHR51DT_2021-08-10.RDS","ETHR51DT.DTA","2005","2021-08-10"
"ETIR51DT_2021-08-10.RDS","ETIR51DT.DTA","2005","2021-08-10"
"ETHR41DT_2021-08-10.RDS","ETHR41DT.DTA","2000","2021-08-10"
"ETIR41DT_2021-08-10.RDS","ETIR41DT.DTA","2000","2021-08-10"
"GAHR61DT_2021-08-10.RDS","GAHR61DT.DTA","2012","2021-08-10"
"GAIR61DT_2021-08-10.RDS","GAIR61DT.DTA","2012","2021-08-10"
"GHHR82DT_2021-08-10.RDS","GHHR82DT.DTA","2019","2021-08-10"
"GHIR82DT_2021-08-10.RDS","GHIR82DT.DTA","2019","2021-08-10"
"GHHR7BDT_2021-08-10.RDS","GHHR7BDT.DTA","2016","2021-08-10"
"GHIR7BDT_2021-08-10.RDS","GHIR7BDT.DTA","2016","2021-08-10"
"GHHR72DT_2021-08-10.RDS","GHHR72DT.DTA","2014","2021-08-10"
"GHIR72DT_2021-08-10.RDS","GHIR72DT.DTA","2014","2021-08-10"
"GHHR5ADT_2021-08-10.RDS","GHHR5ADT.DTA","2008","2021-08-10"
"GHIR5ADT_2021-08-10.RDS","GHIR5ADT.DTA","2008","2021-08-10"
"GHHR4BDT_2021-08-10.RDS","GHHR4BDT.DTA","2003","2021-08-10"
"GHIR4BDT_2021-08-10.RDS","GHIR4BDT.DTA","2003","2021-08-10"
"GHHR41DT_2021-08-10.RDS","GHHR41DT.DTA","1998","2021-08-10"
"GHIR41DT_2021-08-10.RDS","GHIR41DT.DTA","1998","2021-08-10"
"GUHR71DT_2021-08-10.RDS","GUHR71DT.DTA","2015","2021-08-10"
"GUIR71DT_2021-08-10.RDS","GUIR71DT.DTA","2015","2021-08-10"
"GNHR71DT_2021-08-10.RDS","GNHR71DT.DTA","2018","2021-08-10"
"GNIR71DT_2021-08-10.RDS","GNIR71DT.DTA","2018","2021-08-10"
"GNHR62DT_2021-08-10.RDS","GNHR62DT.DTA","2012","2021-08-10"
"GNIR62DT_2021-08-10.RDS","GNIR62DT.DTA","2012","2021-08-10"
"GNHR52DT_2021-08-10.RDS","GNHR52DT.DTA","2005","2021-08-10"
"GNIR52DT_2021-08-10.RDS","GNIR52DT.DTA","2005","2021-08-10"
"GNHR41DT_2021-08-10.RDS","GNHR41DT.DTA","1999","2021-08-10"
"GNIR41DT_2021-08-10.RDS","GNIR41DT.DTA","1999","2021-08-10"
"GYHR5IDT_2021-08-10.RDS","GYHR5IDT.DTA","2009","2021-08-10"
"GYIR5IDT_2021-08-10.RDS","GYIR5IDT.DTA","2009","2021-08-10"
"HTHR71DT_2021-08-10.RDS","HTHR71DT.DTA","2016","2021-08-10"
"HTIR71DT_2021-08-10.RDS","HTIR71DT.DTA","2016","2021-08-10"
"HTHR61DT_2021-08-10.RDS","HTHR61DT.DTA","2012","2021-08-10"
"HTIR61DT_2021-08-10.RDS","HTIR61DT.DTA","2012","2021-08-10"
"HTHR52DT_2021-08-10.RDS","HTHR52DT.DTA","2006","2021-08-10"
"HTIR52DT_2021-08-10.RDS","HTIR52DT.DTA","2006","2021-08-10"
"HTHR42DT_2021-08-10.RDS","HTHR42DT.DTA","2000","2021-08-10"
"HTIR42DT_2021-08-10.RDS","HTIR42DT.DTA","2000","2021-08-10"
"HNHR62DT_2021-08-10.RDS","HNHR62DT.DTA","2011","2021-08-10"
"HNIR62DT_2021-08-10.RDS","HNIR62DT.DTA","2011","2021-08-10"
"IAHR74DT_2021-08-10.RDS","IAHR74DT.DTA","2015","2021-08-10"
"IAIR74DT_2021-08-10.RDS","IAIR74DT.DTA","2015","2021-08-10"
"IDHR42DT_2021-08-10.RDS","IDHR42DT.DTA","2003","2021-08-10"
"IDIR42DT_2021-08-10.RDS","IDIR42DT.DTA","2003","2021-08-10"
"JOHR73DT_2021-08-10.RDS","JOHR73DT.DTA","2017","2021-08-10"
"JOIR73DT_2021-08-10.RDS","JOIR73DT.DTA","2017","2021-08-10"
"JOHR6CDT_2021-08-10.RDS","JOHR6CDT.DTA","2012","2021-08-10"
"JOIR6CDT_2021-08-10.RDS","JOIR6CDT.DTA","2012","2021-08-10"
"JOHR51DT_2021-08-10.RDS","JOHR51DT.DTA","2007","2021-08-10"
"JOIR51DT_2021-08-10.RDS","JOIR51DT.DTA","2007","2021-08-10"
"JOHR42DT_2021-08-10.RDS","JOHR42DT.DTA","2002","2021-08-10"
"JOIR42DT_2021-08-10.RDS","JOIR42DT.DTA","2002","2021-08-10"
"KEHR7ADT_2021-08-10.RDS","KEHR7ADT.DTA","2015","2021-08-10"
"KEIR7ADT_2021-08-10.RDS","KEIR7ADT.DTA","2015","2021-08-10"
"KEHR72DT_2021-08-10.RDS","KEHR72DT.DTA","2014","2021-08-10"
"KEIR72DT_2021-08-10.RDS","KEIR72DT.DTA","2014","2021-08-10"
"KEHR52DT_2021-08-10.RDS","KEHR52DT.DTA","2008","2021-08-10"
"KEIR52DT_2021-08-10.RDS","KEIR52DT.DTA","2008","2021-08-10"
"KYHR61DT_2021-08-10.RDS","KYHR61DT.DTA","2012","2021-08-10"
"KYIR61DT_2021-08-10.RDS","KYIR61DT.DTA","2012","2021-08-10"
"LSHR71DT_2021-08-10.RDS","LSHR71DT.DTA","2014","2021-08-10"
"LSIR71DT_2021-08-10.RDS","LSIR71DT.DTA","2014","2021-08-10"
"LSHR61DT_2021-08-10.RDS","LSHR61DT.DTA","2009","2021-08-10"
"LSIR61DT_2021-08-10.RDS","LSIR61DT.DTA","2009","2021-08-10"
"LSHR41DT_2021-08-10.RDS","LSHR41DT.DTA","2004","2021-08-10"
"LSIR41DT_2021-08-10.RDS","LSIR41DT.DTA","2004","2021-08-10"
"LBHR7ADT_2021-08-10.RDS","LBHR7ADT.DTA","2019","2021-08-10"
"LBIR7ADT_2021-08-10.RDS","LBIR7ADT.DTA","2019","2021-08-10"
"LBHR71DT_2021-08-10.RDS","LBHR71DT.DTA","2016","2021-08-10"
"LBIR71DT_2021-08-10.RDS","LBIR71DT.DTA","2016","2021-08-10"
"LBHR6ADT_2021-08-10.RDS","LBHR6ADT.DTA","2013","2021-08-10"
"LBIR6ADT_2021-08-10.RDS","LBIR6ADT.DTA","2013","2021-08-10"
"LBHR61DT_2021-08-10.RDS","LBHR61DT.DTA","2011","2021-08-10"
"LBIR61DT_2021-08-10.RDS","LBIR61DT.DTA","2011","2021-08-10"
"LBHR5ADT_2021-08-10.RDS","LBHR5ADT.DTA","2009","2021-08-10"
"LBIR5ADT_2021-08-10.RDS","LBIR5ADT.DTA","2009","2021-08-10"
"LBHR51DT_2021-08-10.RDS","LBHR51DT.DTA","2007","2021-08-10"
"LBIR51DT_2021-08-10.RDS","LBIR51DT.DTA","2007","2021-08-10"
"MDHR71DT_2021-08-10.RDS","MDHR71DT.DTA","2016","2021-08-10"
"MDIR71DT_2021-08-10.RDS","MDIR71DT.DTA","2016","2021-08-10"
"MDHR6ADT_2021-08-10.RDS","MDHR6ADT.DTA","2013","2021-08-10"
"MDIR6ADT_2021-08-10.RDS","MDIR6ADT.DTA","2013","2021-08-10"
"MDHR61DT_2021-08-10.RDS","MDHR61DT.DTA","2011","2021-08-10"
"MDIR61DT_2021-08-10.RDS","MDIR61DT.DTA","2011","2021-08-10"
"MDHR51DT_2021-08-10.RDS","MDHR51DT.DTA","2008","2021-08-10"
"MDIR51DT_2021-08-10.RDS","MDIR51DT.DTA","2008","2021-08-10"
"MDHR31DT_2021-08-10.RDS","MDHR31DT.DTA","1997","2021-08-10"
"MDIR31DT_2021-08-10.RDS","MDIR31DT.DTA","1997","2021-08-10"
"MWHR7IDT_2021-08-10.RDS","MWHR7IDT.DTA","2017","2021-08-10"
"MWIR7IDT_2021-08-10.RDS","MWIR7IDT.DTA","2017","2021-08-10"
"MWHR7ADT_2021-08-10.RDS","MWHR7ADT.DTA","2015","2021-08-10"
"MWIR7ADT_2021-08-10.RDS","MWIR7ADT.DTA","2015","2021-08-10"
"MWHR72DT_2021-08-10.RDS","MWHR72DT.DTA","2014","2021-08-10"
"MWIR72DT_2021-08-10.RDS","MWIR72DT.DTA","2014","2021-08-10"
"MWHR6ADT_2021-08-10.RDS","MWHR6ADT.DTA","2012","2021-08-10"
"MWIR6ADT_2021-08-10.RDS","MWIR6ADT.DTA","2012","2021-08-10"
"MWHR61DT_2021-08-10.RDS","MWHR61DT.DTA","2010","2021-08-10"
"MWIR61DT_2021-08-10.RDS","MWIR61DT.DTA","2010","2021-08-10"
"MWHR4EDT_2021-08-10.RDS","MWHR4EDT.DTA","2004","2021-08-10"
"MWIR4EDT_2021-08-10.RDS","MWIR4EDT.DTA","2004","2021-08-10"
"MWHR41DT_2021-08-10.RDS","MWHR41DT.DTA","2000","2021-08-10"
"MWIR41DT_2021-08-10.RDS","MWIR41DT.DTA","2000","2021-08-10"
"MLHR7ADT_2021-08-10.RDS","MLHR7ADT.DTA","2018","2021-08-10"
"MLIR7ADT_2021-08-10.RDS","MLIR7ADT.DTA","2018","2021-08-10"
"MLHR72DT_2021-08-10.RDS","MLHR72DT.DTA","2015","2021-08-10"
"MLIR72DT_2021-08-10.RDS","MLIR72DT.DTA","2015","2021-08-10"
"MLHR6ADT_2021-08-10.RDS","MLHR6ADT.DTA","2012","2021-08-10"
"MLIR6ADT_2021-08-10.RDS","MLIR6ADT.DTA","2012","2021-08-10"
"MLHR53DT_2021-08-10.RDS","MLHR53DT.DTA","2006","2021-08-10"
"MLIR53DT_2021-08-10.RDS","MLIR53DT.DTA","2006","2021-08-10"
"MLHR41DT_2021-08-10.RDS","MLHR41DT.DTA","2001","2021-08-10"
"MLIR41DT_2021-08-10.RDS","MLIR41DT.DTA","2001","2021-08-10"
"MLHR32DT_2021-08-10.RDS","MLHR32DT.DTA","1996","2021-08-10"
"MLIR32DT_2021-08-10.RDS","MLIR32DT.DTA","1996","2021-08-10"
"MBHR53DT_2021-08-10.RDS","MBHR53DT.DTA","2005","2021-08-10"
"MBIR53DT_2021-08-10.RDS","MBIR53DT.DTA","2005","2021-08-10"
"MAHR43DT_2021-08-10.RDS","MAHR43DT.DTA","2003","2021-08-10"
"MAIR43DT_2021-08-10.RDS","MAIR43DT.DTA","2003","2021-08-10"
"MZHR7ADT_2021-08-10.RDS","MZHR7ADT.DTA","2018","2021-08-10"
"MZIR7ADT_2021-08-10.RDS","MZIR7ADT.DTA","2018","2021-08-10"
"MZHR71DT_2021-08-10.RDS","MZHR71DT.DTA","2015","2021-08-10"
"MZIR71DT_2021-08-10.RDS","MZIR71DT.DTA","2015","2021-08-10"
"MZHR62DT_2021-08-10.RDS","MZHR62DT.DTA","2011","2021-08-10"
"MZIR62DT_2021-08-10.RDS","MZIR62DT.DTA","2011","2021-08-10"
"MZHR51DT_2021-08-10.RDS","MZHR51DT.DTA","2009","2021-08-10"
"MZIR51DT_2021-08-10.RDS","MZIR51DT.DTA","2009","2021-08-10"
"MMHR71DT_2021-08-10.RDS","MMHR71DT.DTA","2016","2021-08-10"
"MMIR71DT_2021-08-10.RDS","MMIR71DT.DTA","2016","2021-08-10"
"NMHR61DT_2021-08-10.RDS","NMHR61DT.DTA","2013","2021-08-10"
"NMIR61DT_2021-08-10.RDS","NMIR61DT.DTA","2013","2021-08-10"
"NMHR51DT_2021-08-10.RDS","NMHR51DT.DTA","2006","2021-08-10"
"NMIR51DT_2021-08-10.RDS","NMIR51DT.DTA","2006","2021-08-10"
"NMHR41DT_2021-08-10.RDS","NMHR41DT.DTA","2000","2021-08-10"
"NMIR41DT_2021-08-10.RDS","NMIR41DT.DTA","2000","2021-08-10"
"NPHR7HDT_2021-08-10.RDS","NPHR7HDT.DTA","2016","2021-08-10"
"NPIR7HDT_2021-08-10.RDS","NPIR7HDT.DTA","2016","2021-08-10"
"NPHR61DT_2021-08-10.RDS","NPHR61DT.DTA","2011","2021-08-10"
"NPIR61DT_2021-08-10.RDS","NPIR61DT.DTA","2011","2021-08-10"
"NPHR51DT_2021-08-10.RDS","NPHR51DT.DTA","2006","2021-08-10"
"NPIR51DT_2021-08-10.RDS","NPIR51DT.DTA","2006","2021-08-10"
"NPHR41DT_2021-08-10.RDS","NPHR41DT.DTA","2001","2021-08-10"
"NPIR41DT_2021-08-10.RDS","NPIR41DT.DTA","2001","2021-08-10"
"NIHR31DT_2021-08-10.RDS","NIHR31DT.DTA","1998","2021-08-10"
"NIIR31DT_2021-08-10.RDS","NIIR31DT.DTA","1998","2021-08-10"
"NGHR7BDT_2021-08-10.RDS","NGHR7BDT.DTA","2018","2021-08-10"
"NGIR7BDT_2021-08-10.RDS","NGIR7BDT.DTA","2018","2021-08-10"
"NGHR71DT_2021-08-10.RDS","NGHR71DT.DTA","2015","2021-08-10"
"NGIR71DT_2021-08-10.RDS","NGIR71DT.DTA","2015","2021-08-10"
"NGHR6ADT_2021-08-10.RDS","NGHR6ADT.DTA","2013","2021-08-10"
"NGIR6ADT_2021-08-10.RDS","NGIR6ADT.DTA","2013","2021-08-10"
"NGHR61DT_2021-08-10.RDS","NGHR61DT.DTA","2010","2021-08-10"
"NGIR61DT_2021-08-10.RDS","NGIR61DT.DTA","2010","2021-08-10"
"NGHR53DT_2021-08-10.RDS","NGHR53DT.DTA","2008","2021-08-10"
"NGIR53DT_2021-08-10.RDS","NGIR53DT.DTA","2008","2021-08-10"
"NGHR4BDT_2021-08-10.RDS","NGHR4BDT.DTA","2003","2021-08-10"
"NGIR4BDT_2021-08-10.RDS","NGIR4BDT.DTA","2003","2021-08-10"
"PKHR71DT_2021-08-10.RDS","PKHR71DT.DTA","2017","2021-08-10"
"PKIR71DT_2021-08-10.RDS","PKIR71DT.DTA","2017","2021-08-10"
"PKHR52DT_2021-08-10.RDS","PKHR52DT.DTA","2006","2021-08-10"
"PKIR52DT_2021-08-10.RDS","PKIR52DT.DTA","2006","2021-08-10"
"PEHR5IDT_2021-08-10.RDS","PEHR5IDT.DTA","2009","2021-08-10"
"PEIR5IDT_2021-08-10.RDS","PEIR5IDT.DTA","2009","2021-08-10"
"PEHR5ADT_2021-08-10.RDS","PEHR5ADT.DTA","2007","2021-08-10"
"PEIR5ADT_2021-08-10.RDS","PEIR5ADT.DTA","2007","2021-08-10"
"PEHR51DT_2021-08-10.RDS","PEHR51DT.DTA","2004","2021-08-10"
"PEIR51DT_2021-08-10.RDS","PEIR51DT.DTA","2004","2021-08-10"
"PEHR41DT_2021-08-10.RDS","PEHR41DT.DTA","2000","2021-08-10"
"PEIR41DT_2021-08-10.RDS","PEIR41DT.DTA","2000","2021-08-10"
"PHHR71DT_2021-08-10.RDS","PHHR71DT.DTA","2017","2021-08-10"
"PHIR71DT_2021-08-10.RDS","PHIR71DT.DTA","2017","2021-08-10"
"PHHR52DT_2021-08-10.RDS","PHHR52DT.DTA","2008","2021-08-10"
"PHIR52DT_2021-08-10.RDS","PHIR52DT.DTA","2008","2021-08-10"
"PHHR41DT_2021-08-10.RDS","PHHR41DT.DTA","2003","2021-08-10"
"PHIR41DT_2021-08-10.RDS","PHIR41DT.DTA","2003","2021-08-10"
"RWHR70DT_2021-08-10.RDS","RWHR70DT.DTA","2015","2021-08-10"
"RWIR70DT_2021-08-10.RDS","RWIR70DT.DTA","2015","2021-08-10"
"RWHR61DT_2021-08-10.RDS","RWHR61DT.DTA","2010","2021-08-10"
"RWIR61DT_2021-08-10.RDS","RWIR61DT.DTA","2010","2021-08-10"
"RWHR5ADT_2021-08-10.RDS","RWHR5ADT.DTA","2008","2021-08-10"
"RWIR5ADT_2021-08-10.RDS","RWIR5ADT.DTA","2008","2021-08-10"
"RWHR53DT_2021-08-10.RDS","RWHR53DT.DTA","2005","2021-08-10"
"RWIR53DT_2021-08-10.RDS","RWIR53DT.DTA","2005","2021-08-10"
"SNHR81DT_2021-08-10.RDS","SNHR81DT.DTA","2018","2021-08-10"
"SNIR81DT_2021-08-10.RDS","SNIR81DT.DTA","2018","2021-08-10"
"SNHR7ZDT_2021-08-10.RDS","SNHR7ZDT.DTA","2017","2021-08-10"
"SNIR7ZDT_2021-08-10.RDS","SNIR7ZDT.DTA","2017","2021-08-10"
"SNHR7HDT_2021-08-10.RDS","SNHR7HDT.DTA","2015","2021-08-10"
"SNIR7HDT_2021-08-10.RDS","SNIR7HDT.DTA","2015","2021-08-10"
"SNHR6DDT_2021-08-10.RDS","SNHR6DDT.DTA","2012","2021-08-10"
"SNIR6DDT_2021-08-10.RDS","SNIR6DDT.DTA","2012","2021-08-10"
"SNHR61DT_2021-08-10.RDS","SNHR61DT.DTA","2010","2021-08-10"
"SNIR61DT_2021-08-10.RDS","SNIR61DT.DTA","2010","2021-08-10"
"SNHR5ADT_2021-08-10.RDS","SNHR5ADT.DTA","2008","2021-08-10"
"SNIR5ADT_2021-08-10.RDS","SNIR5ADT.DTA","2008","2021-08-10"
"SNHR4ADT_2021-08-10.RDS","SNHR4ADT.DTA","2005","2021-08-10"
"SNIR4ADT_2021-08-10.RDS","SNIR4ADT.DTA","2005","2021-08-10"
"SNHR32DT_2021-08-10.RDS","SNHR32DT.DTA","1997","2021-08-10"
"SNIR32DT_2021-08-10.RDS","SNIR32DT.DTA","1997","2021-08-10"
"SLHR7ADT_2021-08-10.RDS","SLHR7ADT.DTA","2019","2021-08-10"
"SLIR7ADT_2021-08-10.RDS","SLIR7ADT.DTA","2019","2021-08-10"
"SLHR72DT_2021-08-10.RDS","SLHR72DT.DTA","2016","2021-08-10"
"SLIR72DT_2021-08-10.RDS","SLIR72DT.DTA","2016","2021-08-10"
"SLHR61DT_2021-08-10.RDS","SLHR61DT.DTA","2013","2021-08-10"
"SLIR61DT_2021-08-10.RDS","SLIR61DT.DTA","2013","2021-08-10"
"SLHR51DT_2021-08-10.RDS","SLHR51DT.DTA","2008","2021-08-10"
"SLIR51DT_2021-08-10.RDS","SLIR51DT.DTA","2008","2021-08-10"
"TJHR71DT_2021-08-10.RDS","TJHR71DT.DTA","2017","2021-08-10"
"TJIR71DT_2021-08-10.RDS","TJIR71DT.DTA","2017","2021-08-10"
"TJHR61DT_2021-08-10.RDS","TJHR61DT.DTA","2012","2021-08-10"
"TJIR61DT_2021-08-10.RDS","TJIR61DT.DTA","2012","2021-08-10"
"TZHR7IDT_2021-08-10.RDS","TZHR7IDT.DTA","2017","2021-08-10"
"TZIR7IDT_2021-08-10.RDS","TZIR7IDT.DTA","2017","2021-08-10"
"TZHR7BDT_2021-08-10.RDS","TZHR7BDT.DTA","2015","2021-08-10"
"TZIR7BDT_2021-08-10.RDS","TZIR7BDT.DTA","2015","2021-08-10"
